"TID","IT"
"TID_BLACK_HOLE_WEAPON","TRIS DI TAROCCHI"
"TID_BLACK_HOLE_WEAPON_DESC","Con un rapido movimento di polso, Tara lancia tre tarocchi che trapassano i nemici. Non c'è trucco, non c'è inganno!"
"TID_BLACK_HOLE_ULTI","BUCO NERO"
"TID_BLACK_HOLE_ULTI_DESC","Tara crea uno spaventoso buco nero che attira a sé i malcapitati nelle vicinanze, i quali finiscono col darsi delle craniate assurde."
"TID_TURRET_DAMAGE","Danni torretta"
"TID_TURRET_HEALTH","Salute torretta"
"TID_STAT_DAMAGE_PER_SECOND","Danni al secondo"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Danni al secondo"
"TID_STAT_DAMAGE_PER_STRIKE","Danni per pugno"
"TID_ROBOT","VICESCERIFFO IRONS"
"TID_ROBOT_DESC","Il braccio robotico della legge: costruito per servire, programmato per distruggere."
"TID_ROBOT_WEAPON","RAZZO CECCHINO"
"TID_ROBOT_WEAPON_DESC","Il vicesceriffo Irons lancia un razzo che colpisce il bersaglio da grandi distanze e con precisione millimetrica."
"TID_ROBOT_ULTI","ANTISOMMOSSA"
"TID_ROBOT_ULTI_DESC","Il vicesceriffo Irons scatena un attacco missilistico contro la folla di nemici facinorosi. Come si dice: a mali estremi, (forse un po' troppo) estremi rimedi."
"TID_ARMOR_STAT","Salute"
"TID_HEALTH","Salute"
"TID_STAT_GRENADE_DAMAGE","Danni per granata"
"TID_STAT_MISSILE_DAMAGE","Danni per razzo"
"TID_STAT_HEALTH","Punti ferita"
"TID_STAT_SPEED","Velocità"
"TID_STAT_DAMAGE","Danni"
"TID_STAT_DAMAGE_PER_SHOT","Danni per proiettile"
"TID_STAT_DAMAGE_PER_SHELL","Danni per pallettone"
"TID_STAT_HAMMER_DAMAGE","Danni ogni 0,2 secondi"
"TID_BATTLE","GIOCA"
"TID_QUIT","Esci"
"TID_MATCHMAKING_QUIT","Esci"
"TID_MATCHMAKING_HEADING","Ricerca giocatori"
"TID_MATCHMAKING_TIME_LABEL","La partita inizia tra:"
"TID_MATCHMAKING_PLAYERS","Giocatori trovati: <x>/<y>"
"TID_BUTTON_CANCEL","Annulla"
"TID_BUTTON_OK","OK"
"TID_ENTER_NAME_TITLE","Ti diamo il benvenuto a Brawl Stars!"
"TID_ENTER_NAME_BODY","Come ti chiami?"
"TID_TIME_DAYS","g"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_MATCHMAKING_TIME","Avvio tra: <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","Connesso"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","Connetti"
"TID_SUPERCELL_ID_LOGIN_BUTTON","Accedi"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","Gioca senza"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Vuoi caricare altri progressi con il livello XP <number>? Caricali accedendo al tuo Supercell ID."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Errore!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Il client e il server non sono sincronizzati!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Ricarica gioco"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Errore di connessione"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Impossibile connettersi al server. Controlla la connessione Internet e riprova."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Riprova"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Accesso non riuscito"
"TID_ERROR_POP_UP_LOGIN_FAILED","Riprova più tardi."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Riprova"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","C'è nessuno?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Tocca il pulsante sottostante per ricaricare il gioco."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Ricarica gioco"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Aggiornamento disponibile!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Buone notizie! È disponibile una nuova versione di Brawl Stars."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Aggiorna"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Manutenzione in corso"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Siamo spiacenti, è in corso la manutenzione dei server. Riprova più tardi."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Riprova"
"TID_ERROR_POP_UP_BANNED_TITLE","Account sospeso!"
"TID_ERROR_POP_UP_BANNED","L'account è stato sospeso temporaneamente"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Contatta l'assistenza"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Altre info"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Avviso importante"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars è un gioco gratuito, in cui è possibile velocizzare i progressi con acquisti in-app, disattivabili dalle impostazioni del dispositivo. Tocca OK per accettare le Condizioni d'Uso e la Normativa sulla privacy."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","OK"
"TID_SERVER_ERROR_TITLE","Errore del server <number>"
"TID_SERVER_ERROR","La connessione è stata interrotta durante il combattimento."
"TID_SERVER_ERROR_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connessione interrotta"
"TID_ERROR_POP_UP_CONNECTION_LOST","Prova ad accedere di nuovo!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Accedi ancora"
"TID_TROPHIES","Trofei"
"TID_PRACTICE","ALLENAMENTO"
"TID_READY","Pronto"
"TID_BATTLE_END_TITLE_VICTORY","VITTORIA!"
"TID_BATTLE_END_TITLE_DEFEAT","SCONFITTA"
"TID_BATTLE_END_TITLE_DRAW","Pareggio"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","In vita per <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","Hai vinto!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Posizione: <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","La partita è finita in pareggio, perché entrambe le squadre hanno raccolto lo stesso numero di gemme."
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","Mega brawler sconfitto in <TIME>"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","In vita per <TIME>"
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","DIFFICOLTÀ <LEVEL> SUPERATA!"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","SCONFITTA"
"TID_BATTLE_END_RETURN_HOME","ESCI"
"TID_BATTLE_END_NEXT","Procedi"
"TID_BATTLE_END_TAP","tocca per continuare"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","L'ALLENAMENTO NON DÀ TROFEI"
"TID_BATTLE_END_XP_CAPPED","Hai ottenuto tutta l'esperienza per oggi"
"TID_BATTLE_END_PLAY_AGAIN","GIOCA ANCORA"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","ANNULLA"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> fa parte della squadra"
"TID_BATTLE_END_OVERWHELMING_VICTORY","TRIONFO EPICO"
"TID_BATTLE_END_OVERWHELMING_VICTORY_LONG","TRIONFO EPICO"
"TID_RESPAWNING","In battaglia tra\n<n1>"
"TID_TEAMS_POPUP_TITLE","SQUADRE"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","Squadre di amici e del club"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","ENTRA IN UN CLUB PER VEDERE QUI LE PARTITE ATTIVE"
"TID_TEAMS_POPUP_SEARCH","ENTRA CON UN CODICE"
"TID_TEAMS_POPUP_CREATE","CREA SQUADRA"
"TID_TEAM_SEARCH_POPUP_TITLE","ENTRA CON UN CODICE SQUADRA"
"TID_TEAM_SEARCH_POPUP_SEARCH","ENTRA"
"TID_TEAM_JOIN_ROOM_CODE","Inserisci codice squadra"
"TID_TEAM_CHANGE_MAP","CAMBIA"
"TID_TEAM_TYPE_INFO_0","Classificata"
"TID_TEAM_TYPE_INFO_1","Amichevole"
"TID_TEAM_TYPE_INFO_2","Con biglietti"
"TID_TEAM_MEMBER_LEFT_0","Hai abbandonato la squadra."
"TID_TEAM_MEMBER_LEFT_1","Ti hanno espulso dalla squadra."
"TID_TEAM_MEMBER_LEFT_2","Squadra sciolta perché l'evento è scaduto."
"TID_TEAM_MEMBER_LEFT_3","Squadra sciolta perché il fondatore è uscito."
"TID_TEAM_MEMBER_LEFT_4","Incontro del torneo annullato"
"TID_TEAM_MEMBER_LEFT_5","Incontro del torneo scaduto"
"TID_TEAM_MEMBER_LEFT_6","Incontro del torneo completato"
"TID_TEAM_GAME_STARTING","Avvio partita"
"TID_TEAM_CODE_COPIED","Codice memorizzato"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>INVITO IN SOSPESO</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>RIFIUTATO</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>DESTINATARIO OFFLINE</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","tocca per annullare"
"TID_TEAM_ERROR_1","Errore server della squadra"
"TID_TEAM_ERROR_2","Impossibile unirsi. La squadra è piena."
"TID_TEAM_ERROR_3","Impossibile unirsi. La squadra è stata sciolta."
"TID_TEAM_ERROR_5","Codice squadra non valido, ricontrollalo."
"TID_TEAM_ERROR_6","Impossibile trovare una squadra con questo codice."
"TID_TEAM_ERROR_7","Impossibile entrare nella squadra dopo essere stati espulsi."
"TID_TEAM_ERROR_8","Un gruppo non può avere più di tre membri. Controlla le impostazioni del gruppo."
"TID_TEAM_ERROR_10","Impossibile creare una squadra quando fai già parte di una."
"TID_TEAM_ERROR_11","Impossibile creare una squadra. L'evento è scaduto."
"TID_TEAM_ERROR_12","Impossibile unirsi a una squadra sciolta."
"TID_TEAM_ERROR_14","Impossibile creare una squadra. L'evento non ne prevede."
"TID_TEAM_ERROR_15","Impossibile entrare. La regione della squadra è diversa dalla tua."
"TID_TEAM_ERROR_17","Impossibile iniziare la partita con due brawler uguali."
"TID_TEAM_ERROR_18","Impossibile iniziare la partita. A breve c'è una manutenzione."
"TID_TEAM_ERROR_19","Impossibile espellere il fondatore mentre è online."
"TID_TEAM_ERROR_20","Impossibile cambiare la mappa.\nI giocatori sono troppi per questa mappa."
"TID_TEAM_ERROR_21","Impossibile iniziare la partita. I biglietti non bastano."
"TID_TEAM_ERROR_22","Impossibile cambiare la mappa.\nI giocatori sono troppi."
"TID_TEAM_ERROR_24","Errore nella richiesta. L'amico non esiste."
"TID_TEAM_ERROR_25","Errore nella richiesta. La squadra è piena."
"TID_TEAM_ERROR_26","Invito rifiutato."
"TID_TEAM_ERROR_27","Errore nella richiesta. Il giocatore non accetta gli inviti alle squadre."
"TID_TEAM_ERROR_28","Errore nella richiesta. Il giocatore è offline."
"TID_TEAM_ERROR_29","Errore nella richiesta. Il giocatore è già in una squadra."
"TID_TEAM_ERROR_30","Impossibile iniziare la partita. C'è un invito in sospeso."
"TID_TEAM_ERROR_31","Impossibile cambiare evento quando c'è un invito in sospeso."
"TID_TEAM_ERROR_32","La squadra ha troppi membri per questo evento."
"TID_TEAM_ERROR_33","Questo evento non prevede la creazione di squadre."
"TID_TEAM_ERROR_34","Hai già sconfitto l'ultimo boss."
"TID_TEAM_ERROR_40","Richiesta di entrare in squadra in sospeso."
"TID_TEAM_ERROR_41","Richiesta di entrare in squadra rifiutata."
"TID_TEAM_ERROR_42","Impossibile inviare la richiesta. La squadra non esiste."
"TID_TEAM_ERROR_43","Il destinatario della tua richiesta non è più in squadra."
"TID_TEAM_ERROR_44","Il destinatario della tua richiesta è offline."
"TID_TEAM_ERROR_45","Impossibile inviare la richiesta. La squadra è al completo."
"TID_TEAM_ERROR_46","Il destinatario della tua richiesta ti ha zittito."
"TID_TEAM_ERROR_47","Impossibile accettare la richiesta. Solo il creatore dell'amichevole può farlo."
"TID_TEAM_ERROR_48","Il destinatario ha disattivato le notifiche per gli inviti."
"TID_TEAM_ERROR_60","Impossibile suggerire questo evento. I giocatori in squadra sono troppi."
"TID_TEAM_ERROR_61","Impossibile suggerire un evento quando c'è un invito in sospeso."
"TID_TEAM_ERROR_62","Impossibile suggerire quest'evento: il fondatore della squadra non ha accesso a questo slot."
"TID_TEAM_ERROR_102","Impossibile creare la squadra. Hai una richiesta in sospeso."
"TID_TEAM_ERROR_120","Impossibile avviare. Puoi selezionare solo la mappa prevista dal tuo livello nella sfida."
"TID_TEAM_ERROR_121","Impossibile iniziare la partita, tentativi esauriti."
"TID_SELECT_LOCATION_TITLE","SCEGLI MAPPA"
"TID_SELECT_LOCATION_LOCATIONS","AMICHEVOLE"
"TID_SELECT_LOCATION_EVENTS","CLASSIFICATA"
"TID_TEAM_SEARCH_INVALID_CODE","Codice squadra non valido, ricontrollalo."
"TID_TEAM_LEAVE","ESCI"
"TID_TEAM_JOIN","ENTRA IN SQUADRA"
"TID_TEAM_READY_BUTTON_LABEL","PRONTO"
"TID_TEAM_CANCEL_READY","Annulla"
"TID_TEAM_QUIT","ESCI"
"TID_TEAM_TEAMCODE","Codice squadra"
"TID_TEAM_TEAMCODE_DESC","Gli amici possono entrare nella squadra con questo codice."
"TID_TEAM_WAITING_FOR_PLAYER","Invito con codice squadra"
"TID_TEAM_NO_MEMBER","BOT"
"TID_TEAM_NO_MEMBER_INVITE","INVITA"
"TID_TEAMCREATE_EVENT","Mappa"
"TID_TEAM_KICK","Espelli"
"TID_TEAM_PROFILE","Profilo"
"TID_TEAM_SWAP","Cambia squadra"
"TID_TEAM_SWAP_HERE","Va' qui"
"TID_TEAM_CREATOR_ONLY_FEATURE","Disponibile solo per il fondatore della squadra"
"TID_TEAM_CREATOR_ONLY_FEATURE_MODES","Solo il fondatore della squadra può cambiare un evento."
"TID_TEAM_PROFILE_BLOCKED","Non visualizzabile quando si è pronti"
"TID_TEAM_FEATURE_BLOCKED_WHILE_READY","Non disponibile quando si è pronti"
"TID_TEAM_PRACTISE_BUTTON_LABEL","ALLENAMENTO"
"TID_TEAM_PRACTISE_BUTTON_SUBLABEL","con bot"
"TID_TEAM_LOOT_UNLOCKS","PREMI"
"TID_BONUS_REWARD","Premio bonus con 3 vittorie:"
"TID_BONUS_REWARD_COLLECTED","Premio bonus riscattato"
"TID_INFO_SERVER_ERROR_TITLE","Errore del server"
"TID_INFO_SERVER_ERROR_BUTTON","Ricarica gioco"
"TID_RARITY_NAME_0","cammino dei trofei"
"TID_RARITY_NAME_1","Raro"
"TID_RARITY_NAME_2","Super raro"
"TID_RARITY_NAME_3","Epico"
"TID_RARITY_NAME_4","Mitico"
"TID_RARITY_NAME_5","Leggendario"
"TID_RARITY_COLOR_0","B9EAFF"
"TID_RARITY_COLOR_1","68FD58"
"TID_RARITY_COLOR_2","5AB3FF"
"TID_RARITY_COLOR_3","D850FF"
"TID_RARITY_COLOR_4","FE5E72"
"TID_RARITY_COLOR_5","FFF11E"
"TID_HERO_SCREEN_DIM_COLOR","164382"
"TID_RANK_UP_POPUP_TITLE","NUOVO GRADO!"
"TID_RANK_UP_POPUP_REWARD_BONUS","BONUS PROMOZIONE"
"TID_RANK_UP_POPUP_RANK","GRADO <RANK>"
"TID_NAME_FAILED_TOO_SHORT","Nome troppo corto"
"TID_NAME_FAILED_PROFANITIES","Nome non valido"
"TID_NAME_FAILED","Nome non valido"
"TID_EVENT_STARTED","Nuova mappa per l'evento \q<GAMEMODE>\q e nuovi premi disponibili!"
"TID_SELECT_HERO_INFO_1","<cFF8000>Giocatori vs giocatori</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>Giocatori vs bot</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>Giocatore vs bot</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>Giocatori vs giocatori</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>Giocatore vs bot</c>"
"TID_SELECT_HERO_INFO_FRIENDLY","<c40E0D0>Nelle amichevoli, i brawler hanno tutti i miglioramenti</c>"
"TID_SELECT_HERO_INFO_RANK_REWARD","Destinatario punti energia"
"TID_SELECT_HERO_POW_INFO_TITLE","PREMIO PUNTI ENERGIA"
"TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE","ACQUISTO PUNTI ENERGIA"
"TID_SELECT_HERO_POW_INFO_BODY","SCEGLI UN BRAWLER\nCHE RICEVA I PUNTI ENERGIA"
"TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE","Questo brawler non può più ricevere altri punti energia"
"TID_WILDCARD_POWER_PURCHASE_CONFIRM_TITLE","CONFERMA L'ACQUISTO"
"TID_WILDCARD_POWER_PURCHASE_CONFIRM_INFO","<HERO> riceverà i punti energia."
"TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_TITLE","CONFERMA IL PREMIO"
"TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_INFO","<HERO> riceverà i punti energia."
"TID_NAVI_1","Negozio"
"TID_NAVI_2","Notizie"
"TID_NAVI_3","Battaglia"
"TID_NAVI_4","Brawler"
"TID_NAVI_5","Club"
"TID_NAVI_6","Profilo"
"TID_NAVI_7","Amici"
"TID_LEADERBOARD_TITLE","CLASSIFICHE"
"TID_LEADERBOARD_TAB_TOTAL","TROFEI"
"TID_LEADERBOARD_TAB_HEROES","BRAWLER"
"TID_LEADERBOARD_TAB_CLANS","CLUB"
"TID_LEADERBOARD_TAB_FRIENDS","AMICI"
"TID_LEADERBOARD_SUBTITLE_1","MIGLIORI GIOCATORI"
"TID_LEADERBOARD_SUBTITLE_2","CLUB MIGLIORI"
"TID_LEADERBOARD_SUBTITLE_0","MIGLIORI GIOCATORI CON <HERO>"
"TID_BATTLE_MAIN_NEXT_REWARD","Prossimo premio: <VALUE>/<MAX>"
"TID_BATTLE_MAIN_NEXT_PLANET","Nuova mappa tra: <TIME>"
"TID_BATTLE_MAIN_COLLECTED_COINS","Ottenute: <VALUE>"
"TID_GATCHA_ERROR_NOT_ENOUGH_GOLD","Ottieni 100 gettoni per ricevere una cassa brawl!"
"TID_GATCHA_INFO","<c0000ff>Cassa brawl</c>\n\nAprine una per trovare brawler, punti energia, monete o raddoppiagettoni."
"TID_HERO_INFO_ABILITY_COLOR_1","12b400"
"TID_HERO_INFO_ABILITY_COLOR_2","df1800"
"TID_HERO_INFO_ABILITY_COLOR_3","005bd6"
"TID_HERO_INFO_ARMOR","SALUTE"
"TID_HERO_INFO_ABILITY","ATTACCO: <NAME>"
"TID_HERO_INFO_ULTI","SUPER: <NAME>"
"TID_HERO_INFO_ARMOR_LABEL","SALUTE"
"TID_HERO_INFO_ABILITY_LABEL","ATTACCO"
"TID_HERO_INFO_ULTI_LABEL","SUPER"
"TID_HERO_INFO_BACK","INDIETRO"
"TID_HERO_INFO_UPGRADE","MIGLIORA"
"TID_HERO_INFO_ABILITY_LEVEL","LIV. <LEVEL>/<MAXLEVEL>"
"TID_HERO_INFO_CRAFT_HERO","Acquista brawler"
"TID_HERO_INFO_RARITY","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_ITEM_RARITY","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_POWER_BAR_TOOL_TIP","Ottieni punti energia dalle casse brawl e dalle offerte per sbloccare un nuovo miglioramento."
"TID_HERO_INFO_STAR_POWER_CAN_DROP","Ora l'abilità stellare è disponibile nelle casse brawl."
"TID_HERO_INFO_STAR_POWER_BLOCKED","Potenzia <HERONAME> con una delle abilità stellari disponibili, che trovi nelle casse brawl dopo aver raggiunto il livello <LEVEL>."
"TID_HERO_INFO_ACCESSORIES_CAN_DROP","Ora il gadget è disponibile nelle casse brawl."
"TID_HERO_INFO_ACCESSORIES_BLOCKED","Potenzia <HERONAME> con uno dei gadget disponibili, che trovi nelle casse brawl dopo aver raggiunto il livello <LEVEL>."
"TID_HERO_INFO_STAR_POWER_LABEL","ABILITÀ STELLARE: <NAME>"
"TID_HERO_INFO_ACCESSORIES_LABEL","GADGET: <NAME>"
"TID_HERO_INFO_ABILITY_DESC","<c<COLOR>><CAPTION></c>\n<BODY>"
"TID_MATCHMAKE_FAILED_5","Matchmaking impossibile. L'evento è scaduto."
"TID_MATCHMAKE_FAILED_7","Matchmaking impossibile. Il membro della squadra si è disconnesso."
"TID_MATCHMAKE_FAILED_9","Matchmaking impossibile. Sta iniziando la manutenzione."
"TID_MATCHMAKE_FAILED_11","Matchmaking impossibile. Il compagno di squadra è uscito."
"TID_MATCHMAKE_FAILED_12","Matchmaking impossibile. Hai già sconfitto l'ultimo boss."
"TID_MATCHMAKE_FAILED_14","Puoi giocare a SETE DI POTERE solo con i brawler dotati di almeno un'abilità stellare."
"TID_MATCHMAKE_FAILED_15","Hai terminato le tue partite giornaliere di SETE DI POTERE."
"TID_SUDDEN_DEATH_TIMER","<n1>"
"TID_OWN_TEAM_WINNING","La squadra blu vincerà tra:"
"TID_ENEMY_TEAM_WINNING","La squadra rossa vincerà tra:"
"TID_OWN_TEAM","Squadra blu"
"TID_ENEMY_TEAM","Squadra rossa"
"TID_COUNTDOWN","CONTO ALLA ROVESCIA"
"TID_HERO_LIST_UNLOCKED","<COUNT>/<TOTAL>"
"TID_HERO_LIST_LABEL","BRAWLER"
"TID_HERO_LIST_DO_GATCHA","Apri cassa brawl"
"TID_HERO_TIME_UNTIL_RELEASE","Arriva tra <TIME>"
"TID_HERO_LIST_COMING_UP","Dettagli disponibili dopo il rilascio del brawler"
"TID_SKIN_INFO_TIME_UNTIL_RELEASE","Arriva tra <TIME>"
"TID_SKIN_INFO_","Skin di Supercell ID"
"TID_SKIN_INFO_1","Skin pioniere di Brawl Stars!\n\nPer gli account creati prima del 2019."
"TID_SKIN_INFO_2","Sblocca questa skin connettendoti a Supercell ID dalle impostazioni di gioco!"
"TID_SKIN_INFO_3_TEASER","Prossimamente..."
"TID_SKIN_INFO_3_AVAILABLE","\nDisponibile all'acquisto per un periodo limitato"
"TID_SKIN_INFO_3_NOT_AVAILABLE","\nAttualmente non disponibile all'acquisto"
"TID_SKIN_INFO_3_HERO_NEEDED","\nSblocca il brawler per acquistare la skin"
"TID_SKIN_INFO_CAMPAIGN_1_AVAILABLE","Goditi le feste con questa skin celebrativa!"
"TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE","Skin delle feste"
"TID_SKIN_INFO_CAMPAIGN_3_AVAILABLE","Festeggia Brawl-O-Ween con questa skin celebrativa!"
"TID_SKIN_INFO_CAMPAIGN_3_NOT_AVAILABLE","Skin di Brawl-O-Ween"
"TID_SKIN_INFO_LEGENDARY","Skin stellare"
"TID_LEGENDARY_TROPHIES","punti stellari"
"TID_SKIN_REWARD_TITLE_1","SKIN RICEVUTA"
"TID_SKIN_REWARD_INFO_1","Hai sbloccato una nuova skin! Grazie per aver giocato a Brawl Stars nel 2018!"
"TID_SKIN_REWARD_TITLE_2","SKIN RICEVUTA"
"TID_SKIN_REWARD_INFO_2","Hai sbloccato una nuova skin per aver collegato l'account a Supercell ID."
"TID_SKIN_REWARD_OK","RISCUOTI"
"TID_HERO_REWARD_TITLE_1","MESSAGGIO DALL'ASSISTENZA"
"TID_HERO_REWARD_INFO_1","L'assistenza di Brawl Stars ti ha regalato un brawler."
"TID_SKIN_REWARD_TITLE_0","MESSAGGIO DALL'ASSISTENZA"
"TID_SKIN_REWARD_INFO_0","L'assistenza di Brawl Stars ti ha regalato una nuova skin."
"TID_SKIN_REWARD_TITLE_3","MESSAGGIO DALL'ASSISTENZA"
"TID_SKIN_REWARD_INFO_3","L'assistenza di Brawl Stars ti ha regalato una nuova skin."
"TID_REWARD_TITLE","MESSAGGIO DALL'ASSISTENZA"
"TID_REWARD_INFO","C'è un regalo dall'assistenza che ti aspetta."
"TID_REWARD_INFO_RESOURCE_FIRSTWINS","Gettoni stella riscattati: <AMOUNT>"
"TID_REWARD_INFO_RESOURCE_GOLD","Gettoni riscattati: <AMOUNT>"
"TID_REWARD_INFO_RESOURCE_LEGENDARYTROPHIES","Punti stellari riscattati: <AMOUNT>"
"TID_REWARD_OK","RISCATTA"
"TID_HERO_REWARD_OK","RISCATTA"
"TID_RANK_POPUP_TITLE","IL CAMMINO DEI TROFEI"
"TID_RANK_POPUP_NEXT_GOAL","NUOVO OBIETTIVO"
"TID_RANK_POPUP_COLLECT","PRENDI"
"TID_RANK_POPUP_SEASON_END_REWARD","Premio stagionale"
"TID_RANK_POPUP_SEASON_END_REWARD_OWN","<cffff00>PREMIO STAGIONALE</c>"
"TID_RANK_POPUP_TOTAL_INFO","Accumula trofei per sbloccare premi e far parte di nuove leghe!\nIl totale dei trofei è la somma dei trofei di tutti i tuoi brawler."
"TID_RANK_POPUP_SEASON_END_TITLE","FINE STAGIONE TRA:"
"TID_RANK_POPUP_SEASON_END_INFO","A fine stagione, i trofei dei brawler che sono pari o superiori a <DECAYSTART> saranno ridotti, ma la quantità persa verrà convertita in punti stellari, che potrai spendere nel negozio."
"TID_RANK_POPUP_HILITE_CAPTION_3","SBLOCCA <HERO>"
"TID_RANK_POPUP_HILITE_CAPTION_4","SBLOCCA \q<SKIN>\q"
"TID_RANK_POPUP_HILITE_CAPTION_13","NUOVO EVENTO: <NAME>"
"TID_RANK_POPUP_HILITE_CAPTION_10","MEGA CASSA"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_4","EVENTI DI SQUADRA"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_3","EVENTI DEL GIORNO"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_7","EVENTI CON BIGLIETTI"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_1","Punti stellari di fine stagione"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_2","Premi basati sulla posizione"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_3","Premi basati sui punti"
"TID_RANK_INFO_POPUP_POINTS_LABEL_1","Trofei"
"TID_RANK_INFO_POPUP_LABEL_STAR_POINTS","Punti stellari ottenuti"
"TID_RANK_INFO_POPUP_LABEL_END_TROPHIES","Numero trofei\na fine stagione"
"TID_RANK_INFO_POPUP_SEASON_REWARD_ENTRY","<START> - <END>"
"TID_DAILY_COINS_COLLECTED","Ottenute"
"TID_TEAM_BATTLE","CREA"
"TID_TEAM_UNREADY","non pronto"
"TID_TEAM_WAITING_WHILE_READY","Tutto pronto!\nIn attesa degli altri."
"TID_GATCHA_SCREEN_NEW_HERO","<c<COLOR>>Brawler <NAME> (<OWNEDCOUNT>/<SETSIZE>)</c>"
"TID_GATCHA_SCREEN_NEW_ITEM","<c<COLOR>> <NAME>: <OWNEDCOUNT>/<SETSIZE> </c>"
"TID_GATCHA_SCREEN_BOXES_REMAINING","<AMOUNT>"
"TID_GATCHA_SCREEN_OK","Wow!"
"TID_GATCHA_SCREEN_TAP","Aprimi!"
